language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
de1,1,1,cc10017,0.137212755,0.58,0.64,0.395,0.53,0.39,0.177639981,0.69,0.7,0.42660114849999997,0.51,0.42,61304,38051,47336,113959,105031,3136787,1162635,26.21,0.79
de2,1,1,cc10017,0.598068829,0.58,0.52,0.395,0.53,0.39,0.765935356,0.42,0.67,0.42660114849999997,0.51,0.42,55725,31342,32237,85403,163776,2318771,1020394,26.21,0.79
de3,1,1,cc10017,0.840554062,0.6,0.55,0.395,0.53,0.39,0.908585838,0.45,0.59,0.42660114849999997,0.51,0.42,58032,30125,38303,118878,120301,3780339,1278407,26.21,0.79
de4,1,1,cc10017,0.566159578,0.59,0.59,0.395,0.53,0.39,0.704641985,0.55,0.74,0.42660114849999997,0.51,0.42,55069,38132,23984,97110,67632,2653330,665858,26.21,0.79
de5,1,1,cc10017,0.389861213,0.52,0.51,0.395,0.53,0.39,0.553328028,0.53,0.73,0.42660114849999997,0.51,0.42,54907,33735,28533,79184,119029,2772311,1334627,26.21,0.79
de6,1,1,cc10017,0.529397512,0.58,0.59,0.395,0.53,0.39,0.942904985,0.47,1.04,0.42660114849999997,0.51,0.42,81303,29208,43867,118477,201174,1421304,2723164,26.21,0.79
de7,1,1,cc10017,0.114761678,0.41,0.43,0.395,0.53,0.39,0.211167363,0.61,0.7,0.42660114849999997,0.51,0.42,64443,46678,32462,96492,7268,3611016,6658628,26.21,0.79
de10,1,1,cc10017,-0.11773144,0.61,0.71,0.395,0.53,0.39,-0.148925202,0.81,0.68,0.42660114849999997,0.51,0.42,48468,27958,27581,73403,49645,775307,476402,26.21,0.79
de11,1,1,cc10017,0.120664723,0.57,0.54,0.395,0.53,0.39,0.154156828,0.62,0.64,0.42660114849999997,0.51,0.42,50777,33660,11305,99932,307355,2966813,193588,26.21,0.79
de12,1,1,cc10017,0.322687503,0.63,0.66,0.395,0.53,0.39,0.381631131,0.59,0.74,0.42660114849999997,0.51,0.42,58353,36498,32061,85614,122914,4842805,1047613,26.21,0.79
de13,1,1,cc10017,0.336639632,0.55,0.53,0.395,0.53,0.39,0.444782525,0.54,0.69,0.42660114849999997,0.51,0.42,59027,27296,23249,88607,98499,2308095,803411,26.21,0.79
de14,1,1,cc10017,0.212717481,0.61,0.65,0.395,0.53,0.39,0.232234803,0.63,0.65,0.42660114849999997,0.51,0.42,51544,28567,30638,81438,100045,4090330,942259,26.21,0.79
de15,1,1,cc10017,0.428558021,0.85,0.88,0.395,0.53,0.39,0.324379644,0.61,0.66,0.42660114849999997,0.51,0.42,59885,27551,22129,119564,198949,6032086,1027914,26.21,0.79
de16,1,1,cc10017,0.230096875,0.64,0.61,0.395,0.53,0.39,0.273355776,0.61,0.71,0.42660114849999997,0.51,0.42,41002,38028,31493,100419,75712,2357766,720298,26.21,0.79
de17,1,1,cc10017,0.69528741,0.66,0.6,0.395,0.53,0.39,0.775520171,0.47,0.68,0.42660114849999997,0.51,0.42,58250,30256,39773,99302,99011,3481659,1285607,26.21,0.79
de18,1,1,cc10017,1.068609305,0.87,0.88,0.395,0.53,0.39,1.120512451,0.4,0.91,0.42660114849999997,0.51,0.42,59265,29586,61859,103007,123139,3559074,768649,26.21,0.79
de19,1,1,cc10017,0.129781671,0.51,0.59,0.395,0.53,0.39,0.168133333,0.66,0.65,0.42660114849999997,0.51,0.42,48450,34635,28602,72544,91406,3557208,430797,26.21,0.79
